['sh', 'sh600033', '2013-01-30', '2.26', '2.41', '2.24', '2.37', '61197887.0', '143196370.0', 0.11000000000000032]
['sh', 'sh600033', '2014-12-10', '3.49', '3.81', '3.37', '3.81', '180351368.0', '658544269.0', 0.31999999999999984]
['sh', 'sh600035', '2013-01-30', '3.02', '3.32', '3.02', '3.32', '29074097.0', '93491345.0', 0.2999999999999998]
['sh', 'sh600035', '2014-11-27', '3.96', '4.35', '3.9', '4.35', '53592995.0', '227448631.0', 0.3899999999999997]
['sh', 'sh600036', '2013-03-05', '12.33', '13.47', '12.33', '13.36', '217489127.0', '2799557374.0', 1.0299999999999994]
['sh', 'sh600036', '2014-12-10', '13.16', '14.2', '12.55', '14.12', '547208936.0', '7346901435.0', 0.9599999999999991]
['sh', 'sh600037', '2013-09-30', '8.6', '9.55', '8.6', '9.55', '43318921.0', '398784367.0', 0.9500000000000011]
['sh', 'sh600037', '2014-10-15', '15.12', '16.39', '15.05', '16.19', '26552194.0', '418109758.0', 1.070000000000002]
['sh', 'sh600038', '2013-01-21', '19.41', '22.02', '19.41', '22.02', '15659528.0', '331172185.0', 2.6099999999999994]
['sh', 'sh600038', '2014-12-15', '38.1', '41.36', '37.98', '41.01', '15898671.0', '637512414.0', 2.9099999999999966]
['sh', 'sh600039', '2013-02-05', '7.35', '8.07', '7.26', '7.96', '42137865.0', '323758004.0', 0.6100000000000003]
['sh', 'sh600039', '2014-09-09', '7.2', '7.8', '7.18', '7.78', '46209884.0', '347409124.0', 0.5800000000000001]
['sh', 'sh600048', '2013-04-16', '11.72', '12.47', '11.7', '12.46', '93060811.0', '1129770679.0', 0.7400000000000002]
['sh', 'sh600048', '2014-12-31', '9.68', '10.82', '9.66', '10.82', '388404716.0', '3973585604.0', 1.1400000000000006]
['sh', 'sh600050', '2013-10-08', '3.45', '3.61', '3.4', '3.61', '555661015.0', '1952811647.0', 0.1599999999999997]
['sh', 'sh600050', '2014-12-08', '4.45', '4.91', '4.37', '4.88', '729320976.0', '3501006932.0', 0.4299999999999997]
['sh', 'sh600051', '2013-03-26', '8.33', '8.97', '8.3', '8.86', '25953215.0', '221496974.0', 0.5299999999999994]
['sh', 'sh600051', '2014-12-10', '9.42', '10.29', '9.35', '10.22', '15385978.0', '152787083.0', 0.8000000000000007]
['sh', 'sh600052', '2013-11-18', '3.44', '3.68', '3.44', '3.65', '7940731.0', '28434096.0', 0.20999999999999996]
['sh', 'sh600052', '2014-06-26', '4.75', '5.38', '4.74', '5.38', '30984128.0', '159992939.0', 0.6299999999999999]
['sh', 'sh600053', '2013-08-30', '7.22', '7.93', '7.1', '7.93', '5504016.0', '42450599.0', 0.71]
['sh', 'sh600053', '2014-10-14', '9.98', '10.98', '9.98', '10.98', '7718384.0', '80612109.0', 1.0]
['sh', 'sh600054', '2013-01-30', '13.39', '14.32', '13.18', '14.26', '9063528.0', '124199438.0', 0.8699999999999992]
['sh', 'sh600054', '2014-12-25', '14.8', '15.83', '14.76', '15.76', '8641191.0', '132349578.0', 0.9599999999999991]
['sh', 'sh600055', '2013-02-20', '10.33', '11.33', '10.14', '11.32', '5563808.0', '60776284.0', 0.9900000000000002]
['sh', 'sh600055', '2014-10-31', '21.6', '23.47', '21.2', '23.28', '6472674.0', '146318057.0', 1.6799999999999997]
