['sh', 'sh600436', '2013-06-17', '123.59', '136.29', '123.01', '136.29', '2373004.0', '306546964.0', 12.699999999999989]
['sh', 'sh603168', '2014-07-24', '70.85', '79.66', '70.39', '79.66', '6266847.0', '471710264.0', 8.810000000000002]
['sz', 'sz000661', '2013-06-27', '93.0', '103.95', '93.0', '103.4', '6881579.0', '704578337.28', 10.400000000000006]
['sz', 'sz300288', '2014-12-15', '188.86', '205.0', '183.0', '205.0', '652448.0', '125940804.31', 16.139999999999986]
